attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,236,4.72,enter,0.0384,0.0384,0.03,-46.18,43.54,0.3114,0,0.0,0.0
0,237,4.74,enter,0.03839,0.03839,0.03,-45.98,43.75,0.3116,0,0.0,0.0
0,238,4.76,enter,0.0387,0.0387,0.03,-45.86,43.89,0.3118,0,0.0,0.0
0,239,4.78,enter,0.03853,0.03853,0.03,-45.62,44.13,0.312,0,0.0,0.0
0,240,4.8,enter,0.03831,0.03831,0.03,-45.41,44.36,0.3123,0,0.0,0.0
0,241,4.82,enter,0.03855,0.03855,0.03,-45.36,44.43,0.3127,0,0.0,0.0
0,242,4.84,enter,0.03857,0.03857,0.03,-45.21,44.58,0.313,0,0.0,0.0
0,243,4.86,enter,0.03821,0.03821,0.03,-44.98,44.83,0.3134,0,0.0,0.0
0,244,4.88,enter,0.0379,0.0379,0.03,-44.76,45.05,0.3138,0,0.0,0.0
0,245,4.9,enter,0.03786,0.03786,0.03,-44.59,45.22,0.3142,0,0.0,0.0
0,246,4.92,enter,0.03757,0.03757,0.03,-44.39,45.42,0.3146,0,0.0,0.0
0,247,4.94,enter,0.0373,0.0373,0.03,-44.19,45.62,0.3149,0,0.0,0.0
0,248,4.96,enter,0.03723,0.03723,0.03,-44.05,45.77,0.3153,0,0.0,0.0
0,249,4.98,enter,0.03702,0.03702,0.03,-43.88,45.94,0.3156,0,0.0,0.0
0,250,5.0,enter,0.0368,0.0368,0.03,-43.69,46.12,0.316,0,0.0,0.0
0,251,5.02,enter,0.03673,0.03673,0.03,-43.55,46.27,0.3163,0,0.0,0.0
0,252,5.04,enter,0.0365,0.0365,0.03,-43.36,46.44,0.3166,0,0.0,0.0
0,253,5.06,enter,0.03637,0.03637,0.03,-43.2,46.6,0.3168,0,0.0,0.0
0,254,5.08,enter,0.03603,0.03603,0.03,-42.99,46.8,0.3171,0,0.0,0.0
0,255,5.1,enter,0.03606,0.03606,0.03,-42.86,46.93,0.3173,0,0.0,0.0
0,256,5.12,enter,0.03573,0.03573,0.03,-42.66,47.12,0.3175,0,0.0,0.0
0,257,5.14,enter,0.03581,0.03581,0.03,-42.53,47.24,0.3176,0,0.0,0.0
0,258,5.16,enter,0.03518,0.03518,0.03,-42.26,47.49,0.3178,0,0.0,0.0
0,259,5.18,enter,0.03497,0.03497,0.03,-42.1,47.65,0.3179,0,0.0005,1.14
0,260,5.2,enter,0.03406,0.03406,0.03,-41.7,48.01,0.318,0,0.0015,3.09
0,261,5.22,enter,0.03443,0.03443,0.03,-41.62,48.06,0.3181,0,0.0019,3.97
0,262,5.24,enter,0.03413,0.03413,0.03,-41.49,48.18,0.3182,0,0.0026,5.42
0,263,5.26,enter,0.03284,0.03284,0.03,-41.0,48.62,0.3182,0,0.0036,7.62
0,264,5.28,enter,0.03303,0.03303,0.03,-40.84,48.75,0.3183,0,0.0043,8.96
0,265,5.3,enter,0.03298,0.03298,0.03,-40.72,48.85,0.3183,0,0.0047,9.79
0,266,5.32,enter,0.03132,0.03132,0.03,-40.13,49.35,0.3184,0,0.0058,12.11
0,267,5.34,enter,0.03143,0.03143,0.03,-39.93,49.55,0.3184,0,0.0066,13.86
0,268,5.36,enter,0.03082,0.03082,0.03,-39.69,49.75,0.3185,0,0.0071,15.0
0,269,5.38,enter,0.031,0.031,0.03,-39.51,49.93,0.3186,0,0.0077,16.35
0,270,5.4,enter,0.03034,0.03034,0.03,-39.22,50.19,0.3186,0,0.0084,17.82
0,271,5.42,enter,0.03112,0.03112,0.03,-39.22,50.2,0.3187,0,0.0089,18.87
0,272,5.44,enter,0.03115,0.03115,0.03,-39.15,50.25,0.3187,0,0.0098,19.97
0,273,5.46,enter,0.02967,0.02967,0.03,-38.68,50.63,0.3188,0,0.0108,21.26
