step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
74,1789466998.733,-0.08766454,0.500002,-0.01113576,0,0,-0.004123979,0.9549407,0.03537134,-0.01911655,0.05403646,0,0.015625,0,0.9303386,13.46947,1e-05,-0.03132859,0.01244806,0.1674403,0.3915293,0.03381419,3611,0.5115414,480.65,12.48761
75,1789466999.178,-0.086629,0.500002,-0.01086965,0,0,-0.004090868,1.053827,0.02760032,-0.01832234,0.01302083,0,0.015625,0,0.9713542,13.47796,1e-05,-0.03132352,0.01484735,0.09928679,0.4060473,0.03524256,3480,0.5117226,480.65,12.67234
76,1789466999.628,-0.08628156,0.500002,-0.01015651,0,0,-0.004148642,1.080491,0.04921041,-0.02179952,0,0,0.015625,0,0.984375,13.48108,1e-05,-0.03117923,0.01660533,0.133407,0.3991172,0.04720712,3441,0.5117496,480.65,12.71096
77,1789467000.066,-0.08604869,0.500002,-0.01080753,0,0,-0.004145173,1.136334,0.04977133,-0.01725304,0,0,0.015625,0,0.984375,13.48243,1e-05,-0.03281667,0.01395375,0.150997,0.4002721,0.03427076,3534,0.5118,480.65,12.83421
78,1789467000.479,-0.08589958,0.500002,-0.01080074,0,0,-0.004082589,0.9532037,0.03212038,-0.01813678,0,0,0.015625,0,0.984375,13.48443,1.5e-05,-0.02607596,0.01467974,0.1575088,0.376462,0.03319263,3749,0.5118577,480.65,12.95345
79,1789467000.885,-0.08522661,0.500002,-0.009789237,0,0,-0.004018748,1.05195,0.02636486,-0.01858371,0,0,0.015625,0,0.984375,13.48669,1e-05,-0.03263228,0.01366601,0.1536643,0.3700359,0.03288603,3812,0.511924,480.65,12.94444
80,1789467001.289,-0.08585094,0.500002,-0.01106458,0,0,-0.004061554,1.130737,0.05585625,-0.01775441,0,0,0.015625,0,0.984375,13.48702,1e-05,-0.03064844,0.01580949,0.167607,0.3657055,0.03454566,3837,0.5118855,480.65,12.95371
81,1789467001.709,-0.08700398,0.500002,-0.01086233,0,0,-0.004161636,1.43181,0.114413,-0.01832792,0,0,0.015625,0,0.984375,13.48609,1e-05,-0.03536234,0.01520002,0.1158537,0.3841276,0.03291059,3683,0.5118772,480.65,13.09301
82,1789467002.118,-0.08562493,0.500002,-0.01014075,0,0,-0.003886702,1.19667,0.09258682,-0.01875339,0,0,0.015625,0,0.984375,13.48975,1e-05,-0.0332312,0.01464887,0.1362828,0.3716688,0.03294349,3796,0.5120943,480.65,13.17038
83,1789467002.531,-0.08574659,0.500002,-0.01024111,0,0,-0.003963958,1.035326,0.0350545,-0.01921969,0,0,0.01432292,0,0.9856771,13.49655,1e-05,-0.03191413,0.01114342,0.1329058,0.3749619,0.03464508,3749,0.5122399,495.15,14.3439
84,1789467002.949,-0.08610561,0.500002,-0.009768351,0,0,-0.003767292,1.054558,0.01255397,-0.01931444,0,0,0,0,1,13.49707,1e-05,-0.03206452,0.01390377,0.09708165,0.3806434,0.03414941,3703,0.5121296,495.15,14.38831
85,1789467003.354,-0.08698609,0.500002,-0.009883477,0,0,-0.003615403,1.1285,0.006312465,-0.01774235,0,0,0,0,1,13.49605,1e-05,-0.03272621,0.0114696,0.09774604,0.3672841,0.03362393,3831,0.5122064,495.15,14.38831
86,1789467003.789,-0.08582602,0.500002,-0.009465979,0,0,-0.003587408,1.257627,0.06159859,-0.01999544,0,0,0,0,1,13.4997,1.5e-05,-0.02979589,0.01437234,0.0814323,0.3987911,0.03373265,3551,0.5123236,495.15,14.44318
87,1789467004.191,-0.08711885,0.500002,-0.009465314,0,0,-0.003547436,1.353128,0.0762088,-0.01773977,0,0,0,0,1,13.5046,5.0625e-05,-0.0329238,0.01209831,0.08193602,0.364774,0.03334308,3858,0.5125143,495.15,14.44318
88,1789467004.591,-0.08711885,0.500002,-0.009465314,0,0,-0.003547436,1.353128,0.0762088,-0.01773977,0,0,0,0,1,13.51475,1e-05,-0.03939179,0.01307487,0.08193602,0.3640714,0.03334045,3865,0.5128263,495.15,14.44318
89,1789467004.994,-0.08711885,0.500002,-0.009465314,0,0,-0.003547436,1.353128,0.0762088,-0.01773977,0,0,0,0,1,13.52091,1e-05,-0.03210817,0.01330911,0.08193602,0.3662102,0.03365254,3841,0.5129096,495.15,14.44318
90,1789467005.410,-0.08711885,0.500002,-0.009465314,0,0,-0.003547436,1.353128,0.0762088,-0.01773977,0,0,0,0,1,13.52384,3.375e-05,-0.02791233,0.01219182,0.08193602,0.3791754,0.03304911,3726,0.5130062,495.15,14.44318
91,1789467005.818,-0.08548417,0.500002,-0.009950757,0,0,-0.003860621,1.175357,0.0590494,-0.01726589,0,0,0,0,1,13.52801,7.59375e-05,-0.02909633,0.009336936,0.1357632,0.3717442,0.03291464,3795,0.5131108,495.15,14.42202
