step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
291,0.266563,1.25351,0.0712968,0.345748,0.010337,8.65443
292,0.266564,1.25429,0.0712968,0.34576,0.0103364,8.65513
293,0.266564,1.25539,0.071302,0.345772,0.0103356,8.65457
294,0.266564,1.25632,0.071312,0.34578,0.0103357,8.65503
295,0.266564,1.25741,0.0713266,0.345785,0.0103362,8.65523
296,0.266563,1.25803,0.0713444,0.345784,0.0103374,8.65515
297,0.26656,1.25819,0.0713648,0.345775,0.0103387,8.65471
298,0.266557,1.25772,0.0713874,0.345756,0.01034,8.65405
299,0.266552,1.25663,0.0714118,0.34573,0.0103409,8.65318
300,0.266546,1.25492,0.0714379,0.345697,0.0103419,8.65202
301,0.266539,1.25273,0.0714655,0.345657,0.0103421,8.65096
302,0.266532,1.25039,0.0714947,0.345613,0.0103417,8.64987
303,0.266526,1.24819,0.0715249,0.345568,0.0103413,8.6488
304,0.266519,1.246,0.0715559,0.345522,0.0103408,8.64769
305,0.266513,1.24411,0.0715872,0.345481,0.0103404,8.6467
306,0.266507,1.24238,0.0716187,0.345443,0.0103395,8.64609
307,0.266502,1.24112,0.0716503,0.345411,0.0103386,8.64551
308,0.266496,1.24002,0.0716818,0.345389,0.0103381,8.64516
309,0.26649,1.23907,0.0717125,0.345371,0.010338,8.6449
310,0.266484,1.23828,0.0717425,0.345359,0.0103381,8.64464
311,0.266477,1.23765,0.0717715,0.345352,0.0103383,8.64451
312,0.266471,1.23717,0.0717993,0.345349,0.0103387,8.64443
313,0.266465,1.23654,0.071826,0.345349,0.0103391,8.64441
314,0.266459,1.23606,0.0718514,0.345348,0.0103396,8.64433
315,0.266453,1.23543,0.0718756,0.345348,0.0103401,8.64425
316,0.266448,1.23496,0.0718988,0.345348,0.0103405,8.64419
317,0.266443,1.23432,0.0719207,0.345347,0.0103408,8.64407
318,0.266438,1.23385,0.0719416,0.345346,0.0103412,8.64396
319,0.266435,1.23353,0.0719612,0.345343,0.0103414,8.64385
320,0.266432,1.23337,0.0719793,0.345338,0.0103418,8.64355
321,0.266431,1.23305,0.0719958,0.34533,0.0103423,8.64322
322,0.266429,1.23274,0.0720104,0.34532,0.0103427,8.64285
323,0.266428,1.23226,0.0720234,0.345311,0.0103431,8.64246
324,0.266427,1.23162,0.0720346,0.345301,0.0103432,8.64213
325,0.266427,1.23115,0.0720445,0.345293,0.010343,8.64189
326,0.266426,1.23051,0.0720529,0.345286,0.0103432,8.64151
327,0.266424,1.2294,0.0720582,0.345277,0.0103445,8.64226
328,0.266422,1.22796,0.0720607,0.345271,0.0103443,8.64225
329,0.266421,1.22685,0.0720608,0.345269,0.0103435,8.64232
330,0.26642,1.22589,0.0720589,0.345271,0.0103427,8.64221
331,0.26642,1.22541,0.0720551,0.345278,0.010342,8.64246
332,0.26642,1.22525,0.0720491,0.345289,0.0103417,8.64275
333,0.266422,1.22541,0.0720407,0.345299,0.0103417,8.64302
334,0.266423,1.22557,0.0720302,0.345312,0.0103418,8.64336
335,0.266425,1.22589,0.0720178,0.345325,0.0103417,8.64374
336,0.266427,1.22637,0.0720038,0.345339,0.0103417,8.64412
337,0.266429,1.22685,0.0719884,0.345355,0.0103416,8.64456
338,0.266431,1.22733,0.0719717,0.345369,0.0103416,8.64496
339,0.266433,1.22812,0.0719541,0.345386,0.0103415,8.64536
340,0.266434,1.22892,0.0719358,0.345401,0.0103416,8.64576
341,0.266437,1.22972,0.071917,0.345417,0.0103416,8.64616
342,0.266439,1.23051,0.0718978,0.345432,0.0103418,8.64651
343,0.266441,1.23146,0.0718784,0.345446,0.0103419,8.6468
344,0.266443,1.23226,0.0718591,0.345456,0.0103421,8.64703
345,0.266446,1.23305,0.0718399,0.345463,0.0103423,8.64718
346,0.266448,1.23385,0.0718211,0.345469,0.0103425,8.64721
347,0.266451,1.23448,0.0718028,0.345471,0.0103426,8.64721
348,0.266455,1.23527,0.0717851,0.34547,0.0103427,8.64714
349,0.266458,1.23575,0.071768,0.345466,0.0103428,8.64698
350,0.266462,1.23622,0.0717517,0.345458,0.0103428,8.6467
351,0.266465,1.2367,0.0717363,0.345447,0.0103428,8.64637
352,0.266469,1.23701,0.0717219,0.345435,0.0103427,8.64604
353,0.266473,1.23749,0.0717085,0.345423,0.0103426,8.64568
354,0.266477,1.2378,0.071696,0.345409,0.0103425,8.64531
355,0.266481,1.23812,0.0716845,0.345395,0.0103423,8.64494
356,0.266484,1.23828,0.071674,0.34538,0.0103422,8.64459
357,0.266488,1.23875,0.0716649,0.345369,0.0103413,8.64435
358,0.266491,1.23923,0.0716573,0.345362,0.0103406,8.64451
359,0.266494,1.2397,0.0716513,0.345357,0.0103403,8.64448
360,0.266497,1.24017,0.0716466,0.345358,0.0103402,8.6445
361,0.266499,1.24065,0.0716432,0.345361,0.0103401,8.64461
