step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
30,1789879854.065,-0.3645074,-0.3914017,1.10663,-0.06390509,-0.005900031,-0.13375,-0.1323597,-0.01597469,-0.0007179541,-0.09068504,-0.001538548,-0.036535,-0.001798709,0.8032405,-0.02815823,-0.04030166,-0.00106464,-0.04415452,-0.06086339,-0.03362448,0.5763685,0.08111875,-0.004316529,-0.003077516,0.2828355,0.631225,0.8661705,0.004025859,25.097,0.006551751,0.0005008838,0.0006238738,0.001401134,0.0004444444,-0.02875902,0.09570935,0.9519181,1.550875,39277,0.9748012,718.37,58.67013
31,1789879856.597,-0.3732516,-0.3955884,1.152006,-0.06930761,-0.005121729,-0.01,-0.1338047,-0.01626666,0,-0.09318493,-0.001593154,-0.05557999,-0.002473955,0.743652,-0.02923824,-0.05659774,0,-0.04343119,-0.05345403,-0.04206206,0.609464,0,-0.004397358,-0.003031879,0.2648322,0.7893762,0.8569395,0.00395483,25.02805,0.006418672,0.0004754322,0.0006221096,0.001366301,0.0001975309,-0.03109076,0.1281754,0.9560676,1.569027,38930,0.9709261,748.28,62.50351
32,1789879859.128,-0.387292,-0.4140966,1.188007,-0.06928441,-0.006892314,-0.2374999,-0.1266738,-0.01706709,0,-0.0881823,-0.001658005,-0.035955,-0.001722459,0.8815155,-0.03123198,-0.04250076,0,-0.04520088,-0.06816544,-0.04043722,0.613742,0.08664604,-0.004507936,-0.003332665,0.3150783,0.7031681,0.9877433,0.003914756,24.97595,0.006283107,0.0004675254,0.0005992347,0.001301591,0.0004444444,-0.02697716,0.07719675,0.9582224,1.567057,38927,0.9681466,767.59,63.6639
33,1789879861.651,-0.4031095,-0.4294005,1.224007,-0.07427573,-0.007403342,-0.2299999,-0.1380269,-0.01712157,-0.002351842,-0.09680867,-0.001704312,-0.022425,-0.001744478,1.031405,-0.03266412,-0.02417614,0,-0.04740025,-0.07585716,-0.03674088,0.628249,0.206252,-0.00473214,-0.003637386,0.320228,0.74159,1.079498,0.003788342,24.90524,0.006103936,0.0004587017,0.0005717342,0.001285158,0.0001975309,-0.03079256,0.07863239,0.9599781,1.557168,39053,0.9648352,779.61,63.81159
34,1789879864.187,-0.4097376,-0.4409543,1.260008,-0.07624009,-0.006763497,-0.1578571,-0.1415895,-0.01776825,-0.000139559,-0.09967992,-0.00175276,-0.03500571,-0.002117883,0.9771693,-0.03258447,-0.03683417,0,-0.04858268,-0.06629698,-0.04158723,0.6543428,0.1472073,-0.004828697,-0.003516517,0.3396996,0.8121487,1.11599,0.003762785,24.85741,0.006019402,0.0004288557,0.0005393014,0.00128846,0.0004444444,-0.02691159,0.06963068,0.9648635,1.565215,38854,0.9614971,824.93,68.07298
35,1789879866.728,-0.418859,-0.4499408,1.296009,-0.0759486,-0.007304234,-0.1866666,-0.1344908,-0.01840853,-0.0001335275,-0.09455859,-0.00179609,-0.04705333,-0.001587593,0.9085705,-0.03336492,-0.05408902,0,-0.04792662,-0.0719059,-0.04191766,0.673263,0.03692084,-0.004916114,-0.003697549,0.3249199,0.911235,0.9936082,0.00368675,24.77674,0.005965796,0.0004335706,0.0005629057,0.00128257,0.0001316872,-0.03097925,0.06058601,0.9677317,1.565695,38802,0.9574955,849.71,71.3828
36,1789879869.256,-0.4340828,-0.4602217,1.33201,-0.08505738,-0.007551522,-0.2549999,-0.1484204,-0.01851192,-0.0007858718,-0.1045505,-0.001838452,-0.04712,-0.001520373,1.038255,-0.03251712,-0.04588316,0,-0.05278134,-0.08337346,-0.04569039,0.6892094,0.1094061,-0.005187567,-0.003749232,0.3759891,0.8016788,1.023406,0.003653605,24.72371,0.00591809,0.0004186902,0.0005369279,0.001308867,0.0004444444,-0.02180795,0.06875218,0.948873,1.566123,39087,0.9544026,856.04,71.69897
37,1789879871.793,-0.4418152,-0.4823014,1.368011,-0.07887401,-0.006721496,-0.0925,-0.1518784,-0.01940575,-0.02314968,-0.1067222,-0.00190428,-0.02898,-0.002360208,1.119082,-0.03486992,-0.02976726,0,-0.05136687,-0.06409603,-0.04153084,0.7157075,0.2213069,-0.005192348,-0.003795872,0.373145,0.9138809,1.241036,0.003552113,24.65081,0.005777554,0.0004211645,0.0005234848,0.001280792,8.779149e-05,-0.02572509,0.07768332,0.9660001,1.563802,38858,0.9513668,874.58,74.3425
38,1789879874.329,-0.4508649,-0.4803129,1.404011,-0.08042835,-0.00808526,-0.2192856,-0.1523824,-0.02015326,-0.0006049073,-0.106091,-0.001957729,-0.04830285,-0.001679493,1.026169,-0.03505238,-0.052463,0,-0.05477111,-0.0784837,-0.0445358,0.7269368,0.08988198,-0.005352498,-0.003957275,0.3594145,0.9028618,1.107037,0.003533847,24.60566,0.005707552,0.0004125181,0.0005031993,0.001257988,0.0004444444,-0.02567001,0.07056231,0.9512956,1.57811,38864,0.948252,902.38,76.07478
39,1789879876.799,-0.4665295,-0.499026,1.440012,-0.08730859,-0.006957385,-0.059,-0.1641738,-0.02025238,-0.01362197,-0.1165309,-0.002007103,-0.05551199,-0.00273479,1.001555,-0.0361692,-0.06030988,0,-0.05475404,-0.06928157,-0.0488453,0.7549565,0.06330945,-0.005503101,-0.003917846,0.3667408,0.9219543,0.9912676,0.003528814,24.53061,0.005654536,0.000405197,0.0004784971,0.001242028,0.0002962963,-0.02915632,0.06155871,0.9411712,1.52161,39915,0.9452073,939.16,78.23544
