step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
194,0.265973,1.22691,0.0776242,0.340431,0.010386,8.52454,0
195,0.26597,1.23357,0.0775434,0.340644,0.0103895,8.53008,0
196,0.265972,1.24092,0.0774427,0.34086,0.0103931,8.5356,0
197,0.26598,1.24889,0.0773235,0.341071,0.0103965,8.54077,0
198,0.265995,1.25745,0.0771872,0.341267,0.0104001,8.54539,0
199,0.266016,1.26616,0.0770352,0.341442,0.0104038,8.54938,0
200,0.266045,1.27485,0.0768686,0.341591,0.010407,8.55259,0
201,0.26608,1.28295,0.0766883,0.341709,0.0104103,8.55488,0
202,0.26612,1.2905,0.076496,0.341795,0.0104124,8.55654,0
203,0.266164,1.29754,0.0762941,0.341855,0.0104132,8.55751,0
204,0.266213,1.30428,0.0760837,0.34189,0.0104139,8.55794,0
205,0.266265,1.31073,0.0758676,0.341909,0.0104128,8.55795,0
206,0.26632,1.31731,0.0756472,0.341921,0.0104097,8.55838,0
207,0.266375,1.32412,0.0754245,0.341931,0.0104061,8.55707,0
208,0.26643,1.33115,0.0752014,0.341944,0.0104021,8.55902,0
209,0.266485,1.33845,0.0749796,0.34197,0.0103991,8.55983,0
210,0.266537,1.34584,0.0747605,0.342003,0.0103951,8.5609,0
211,0.266586,1.35348,0.0745459,0.342058,0.0103921,8.56254,0
212,0.266631,1.36111,0.0743368,0.342128,0.0103886,8.56473,0
213,0.266671,1.36863,0.0741352,0.342215,0.0103858,8.56736,0
214,0.266706,1.37612,0.0739422,0.342321,0.0103827,8.57016,0
215,0.266737,1.38357,0.0737598,0.34244,0.0103801,8.5733,0
216,0.266763,1.39096,0.0735886,0.342573,0.0103783,8.57682,0
217,0.266785,1.39798,0.0734299,0.342713,0.0103775,8.58053,0
218,0.266802,1.40458,0.0732851,0.342857,0.0103765,8.58423,0
219,0.266817,1.41073,0.0731549,0.343,0.0103762,8.58782,0
220,0.266828,1.4164,0.0730402,0.343136,0.0103765,8.59118,0
221,0.266837,1.42156,0.0729408,0.343257,0.0103771,8.59377,0
222,0.266845,1.42622,0.0728576,0.343367,0.0103778,8.59651,0
223,0.266853,1.43083,0.0727917,0.343459,0.0103776,8.59845,0
224,0.26686,1.43477,0.0727428,0.343529,0.0103786,8.60017,0
225,0.266866,1.43754,0.0727097,0.343572,0.0103806,8.60086,0
226,0.266869,1.43906,0.0726923,0.343591,0.0103819,8.60027,0
227,0.26687,1.43917,0.0726906,0.343583,0.0103831,8.5999,0
228,0.266869,1.43797,0.0727042,0.343554,0.0103837,8.59871,0
229,0.266866,1.43584,0.0727331,0.343504,0.0103838,8.59694,0
