attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,120,2.4,stand,0.22006,0.22006,0.03,-25.02,2.28,0.3288,0,0.0,0.0
0,121,2.42,stand,0.22045,0.22045,0.03,-25.1,2.22,0.3288,0,0.0,0.0
0,122,2.44,stand,0.22072,0.22072,0.03,-25.14,2.16,0.3287,0,0.0,0.0
0,123,2.46,stand,0.22083,0.22083,0.03,-25.17,2.1,0.3287,0,0.0,0.0
0,124,2.48,approach,0.22076,0.22076,0.03,-25.16,2.04,0.3287,0,0.0,0.0
0,125,2.5,approach,0.21771,0.21771,0.03,-25.12,1.98,0.3286,0,0.0,0.0
0,126,2.52,approach,0.21461,0.21461,0.03,-25.1,1.98,0.3286,0,0.0,0.0
0,127,2.54,approach,0.21161,0.21161,0.03,-25.13,2.03,0.3286,0,0.0,0.0
0,128,2.56,approach,0.20873,0.20873,0.03,-25.19,2.13,0.3286,0,0.0,0.0
0,129,2.58,approach,0.20589,0.20589,0.03,-25.26,2.24,0.3285,0,0.0,0.0
0,130,2.6,approach,0.20307,0.20307,0.03,-25.32,2.33,0.3285,0,0.0,0.0
0,131,2.62,approach,0.20032,0.20032,0.03,-25.41,2.39,0.3285,0,0.0,0.0
0,132,2.64,approach,0.19766,0.19766,0.03,-25.51,2.41,0.3285,0,0.0,0.0
0,133,2.66,approach,0.19506,0.19506,0.03,-25.62,2.41,0.3284,0,0.0,0.0
0,134,2.68,approach,0.1925,0.1925,0.03,-25.74,2.38,0.3284,0,0.0,0.0
0,135,2.7,approach,0.18996,0.18996,0.03,-25.85,2.35,0.3284,0,0.0,0.0
0,136,2.72,approach,0.18743,0.18743,0.03,-25.96,2.32,0.3284,0,0.0,0.0
0,137,2.74,approach,0.18491,0.18491,0.03,-26.07,2.29,0.3284,0,0.0,0.0
0,138,2.76,approach,0.18239,0.18239,0.03,-26.17,2.25,0.3283,0,0.0,0.0
0,139,2.78,approach,0.17988,0.17988,0.03,-26.26,2.22,0.3283,0,0.0,0.0
0,140,2.8,approach,0.17737,0.17737,0.03,-26.35,2.18,0.3283,0,0.0,0.0
0,141,2.82,approach,0.17487,0.17487,0.03,-26.44,2.14,0.3282,0,0.0,0.0
0,142,2.84,approach,0.17237,0.17237,0.03,-26.51,2.1,0.3282,0,0.0,0.0
0,143,2.86,approach,0.1699,0.1699,0.03,-26.59,2.06,0.3282,0,0.0,0.0
0,144,2.88,approach,0.16746,0.16746,0.03,-26.66,2.02,0.3281,0,0.0,0.0
0,145,2.9,approach,0.16504,0.16504,0.03,-26.73,1.98,0.328,0,0.0,0.0
0,146,2.92,approach,0.16262,0.16262,0.03,-26.8,1.94,0.328,0,0.0,0.0
0,147,2.94,approach,0.16019,0.16019,0.03,-26.86,1.9,0.3279,0,0.0,0.0
0,148,2.96,approach,0.15774,0.15774,0.03,-26.91,1.86,0.3278,0,0.0,0.0
0,149,2.98,approach,0.15529,0.15529,0.03,-26.96,1.82,0.3278,0,0.0,0.0
0,150,3.0,approach,0.15286,0.15286,0.03,-27.0,1.78,0.3277,0,0.0,0.0
0,151,3.02,approach,0.15044,0.15044,0.03,-27.05,1.74,0.3276,0,0.0,0.0
0,152,3.04,approach,0.14802,0.14802,0.03,-27.09,1.7,0.3275,0,0.0,0.0
0,153,3.06,approach,0.14562,0.14562,0.03,-27.14,1.66,0.3274,0,0.0,0.0
0,154,3.08,approach,0.14326,0.14326,0.03,-27.18,1.63,0.3273,0,0.0,0.0
0,155,3.1,approach,0.14093,0.14093,0.03,-27.24,1.59,0.3272,0,0.0,0.0
0,156,3.12,approach,0.13865,0.13865,0.03,-27.29,1.55,0.3271,0,0.0,0.0
0,157,3.14,approach,0.13639,0.13639,0.03,-27.36,1.51,0.327,0,0.0,0.0
0,158,3.16,approach,0.13418,0.13418,0.03,-27.42,1.48,0.3269,0,0.0,0.0
0,159,3.18,approach,0.13199,0.13199,0.03,-27.5,1.44,0.3268,0,0.0,0.0
0,160,3.2,approach,0.12984,0.12984,0.03,-27.57,1.4,0.3267,0,0.0,0.0
