step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
30,1789943319.203,-0.3597349,-0.3920253,1.116005,-0.06375192,-0.007344662,-0.2299999,-0.1257178,-0.01586314,-0.0004112363,-0.08938673,-0.001547411,-0.029,-0.0008257083,0.8536032,-0.02899102,-0.0340805,0,-0.04102992,-0.05857076,-0.04255433,0.5701951,0.1075417,-0.004206125,-0.003269482,0.3146269,0.7456576,0.6244311,0.003927761,25.42467,0.005301594,0.0001283877,0.0001303588,0.001115087,0.01663363,0.2,0.1,7.59375e-05,-0.03004545,0.1168149,1.301684,1.035442,10515,0.9935141,654.36,53.90307
31,1789943321.949,-0.3712229,-0.4062755,1.149006,-0.0688945,-0.007356569,-0.115,-0.1294895,-0.01648043,-0.007273631,-0.09176862,-0.001604648,-0.03784001,-0.001572332,0.7689018,-0.03195412,-0.05441966,0,-0.04146816,-0.06098913,-0.03475293,0.5927407,0,-0.00433761,-0.003329359,0.2707242,0.6536808,0.8377813,0.003885428,25.41883,0.005236987,0.0001250337,0.0001300419,0.001096484,0.01404442,0.05,0.15,0.0001708594,-0.03063084,0.1104884,2.189964,0.5280132,9042,0.9930943,673.74,54.74338
32,1789943325.306,-0.3889395,-0.4179896,1.186507,-0.06967363,-0.006778514,-0.15,-0.1310727,-0.01709963,0,-0.09280118,-0.001654094,-0.03835001,-0.001374762,0.8462023,-0.03313153,-0.04529932,0,-0.04073334,-0.05461268,-0.04078721,0.6122478,0.06422284,-0.004529878,-0.003312327,0.3020388,0.7387233,1.129228,0.003864273,25.41104,0.005263676,0.0001300773,0.0001350465,0.001134279,0.01730668,0.4,0.15,2.25e-05,-0.0267971,0.1283066,2.869379,0.4668386,7366,0.9928536,703.71,57.10864
33,1789943327.187,-0.4023406,-0.4274619,1.219507,-0.07589137,-0.007393743,-0.2099999,-0.1471403,-0.0173245,0,-0.1034749,-0.001714234,-0.01394,-0.001842179,1.031904,-0.03241444,-0.01879464,0,-0.04772582,-0.07637661,-0.03681935,0.6260352,0.2469805,-0.004614949,-0.003436131,0.3361064,0.5969869,1.221979,0.003795235,25.40578,0.005126156,0.0001249726,0.0001291413,0.001076807,0.01054568,0,0.25,0.0001708594,-0.02449952,0.1199199,1.323387,0.5375233,13206,0.9921939,724.12,58.60648
34,1789943330.475,-0.4072512,-0.4378142,1.253508,-0.07791149,-0.007153282,-0.1183333,-0.1394913,-0.01811247,-0.01280808,-0.09912213,-0.001749212,-0.02760667,-0.001713401,0.9704211,-0.03332167,-0.03654212,0,-0.04454987,-0.06836601,-0.03831397,0.6455038,0.1472917,-0.004761176,-0.003461693,0.2978199,0.7412051,1.048952,0.003750284,25.38951,0.005093277,0.0001233002,0.0001293538,0.001090338,0.01640022,0.15,0.1,0.0001139063,-0.0228167,0.1620573,2.738476,0.5371227,7502,0.9915353,755.45,60.88213
35,1789943333.783,-0.4178554,-0.4475478,1.296009,-0.08117839,-0.006750473,-0.05500001,-0.16812,-0.01857485,-0.01346398,-0.116882,-0.001793483,-0.04274,-0.002911252,0.9467047,-0.03290532,-0.04522483,-0.000509807,-0.05184448,-0.07782116,-0.04806441,0.6735632,0.1095781,-0.004887793,-0.003549569,0.3248675,0.7202784,1.219145,0.003733981,25.37752,0.0050427,0.0001228749,0.0001274815,0.001058362,0.01695373,0.4,0.15,1.5e-05,-0.02774341,0.1235836,2.829799,0.4674811,7453,0.9908348,786.12,63.39579
36,1789943335.708,-0.4378659,-0.4661538,1.33201,-0.07315248,-0.009405868,-0.3399998,-0.1442313,-0.01963756,0,-0.102354,-0.00185508,-0.01544,-0.001207898,1.211159,-0.03516015,-0.01738675,0,-0.04921516,-0.07775386,-0.03850326,0.6707561,0.2778814,-0.005063431,-0.003863387,0.3090166,0.721146,1.344805,0.003830985,25.36703,0.005128348,0.0001195107,0.0001253072,0.001052544,0.01094271,0,0.3,0.0001708594,-0.02398403,0.113853,1.404147,0.5093274,12843,0.9900176,825.33,67.29884
37,1789943338.940,-0.4492926,-0.4951268,1.365011,-0.08389916,-0.007229656,-0.11,-0.1592335,-0.01999453,0,-0.1111613,-0.001892145,-0.03056,-0.002044057,1.084854,-0.03625057,-0.03530058,0,-0.04970155,-0.06704552,-0.04447626,0.7062451,0.1815764,-0.005083497,-0.003692197,0.3601817,0.9440255,1.143275,0.003711917,25.34206,0.005015882,0.0001193196,0.0001271861,0.001057459,0.0167381,0.25,0.1,5.0625e-05,-0.0296878,0.1019092,2.738451,0.4773428,7642,0.9886973,843.71,69.17012
38,1789943342.223,-0.4632976,-0.5005101,1.404011,-0.0845094,-0.00811589,-0.04500001,-0.1526063,-0.01948606,-0.0001069129,-0.1100104,-0.001959404,-0.02972001,-0.002291888,1.149856,-0.0383779,-0.03663233,0,-0.04962236,-0.06835472,-0.04741871,0.7219591,0.1933342,-0.005390774,-0.003838309,0.3000605,0.9087757,1.251371,0.003713355,25.32665,0.005019399,0.0001166825,0.0001220574,0.001067304,0.01466652,0.1,0.2,0.0001139063,-0.02271405,0.1405687,2.058524,1.173048,7604,0.9879481,860.7,71.14629
39,1789943344.212,-0.4723394,-0.5115563,1.440012,-0.08582023,-0.008841123,-0.2699999,-0.1577025,-0.02145919,-0.0007627839,-0.1131796,-0.001996992,-0.02564,-0.001383444,1.189405,-0.03850816,-0.0348132,0,-0.05158659,-0.06856325,-0.04783383,0.7360293,0.2010802,-0.005499909,-0.004256354,0.3199819,0.8583815,1.279893,0.003618447,25.30861,0.0049023,0.0001128496,0.0001208961,0.001050108,0.01569396,0.1,0.15,0.0001708594,-0.03132766,0.1121705,1.441347,0.5277824,12480,0.9867348,894.29,73.66759
40,1789943347.374,-0.4891153,-0.5135085,1.476013,-0.08657414,-0.007959308,-0.09999998,-0.1671904,-0.02082762,-0.001840218,-0.1187199,-0.002045806,-0.02842001,-0.002772727,1.180858,-0.04001367,-0.03459239,0,-0.0549603,-0.08013014,-0.04698403,0.7606425,0.2163673,-0.005640303,-0.004056965,0.3799931,0.9412115,1.413604,0.003563894,25.28495,0.004859889,0.0001130766,0.0001193364,0.001063582,0.01636721,0.2,0.1,7.59375e-05,-0.02955531,0.09314173,2.686513,0.4550381,7822,0.9856552,904.92,75.3597
