step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
255,0.88350,0.09123,0.20353,0.58874,0.23856,0.0000,0.0000,5.1580
256,0.88384,0.09138,0.20363,0.58883,0.23857,0.0000,0.0000,5.1458
257,0.88414,0.09146,0.20385,0.58883,0.23855,0.0000,0.0000,5.1597
258,0.88440,0.09146,0.20419,0.58874,0.23850,0.0000,0.0000,5.1241
259,0.88457,0.09144,0.20450,0.58863,0.23844,0.0000,0.0000,5.1767
260,0.88456,0.09133,0.20471,0.58852,0.23838,0.0000,0.0000,5.0980
261,0.88460,0.09127,0.20496,0.58838,0.23831,0.0000,0.0000,5.0526
262,0.88441,0.09109,0.20508,0.58824,0.23824,0.0000,0.0000,5.0639
263,0.88409,0.09087,0.20514,0.58808,0.23817,0.0000,0.0000,5.0203
264,0.88382,0.09068,0.20524,0.58791,0.23810,0.0000,0.0000,5.0205
265,0.88338,0.09040,0.20522,0.58776,0.23804,0.0000,0.0000,5.0022
266,0.88305,0.09019,0.20525,0.58761,0.23799,0.0000,0.0000,5.0698
267,0.88276,0.09001,0.20526,0.58749,0.23796,0.0000,0.0000,5.0910
268,0.88259,0.08989,0.20530,0.58740,0.23794,0.0000,0.0000,5.1190
269,0.88278,0.08995,0.20544,0.58739,0.23795,0.0000,0.0000,5.0768
270,0.88299,0.09011,0.20540,0.58748,0.23801,0.0000,0.0000,5.0696
271,0.88300,0.09026,0.20508,0.58766,0.23809,0.0000,0.0000,5.0780
272,0.88309,0.09046,0.20477,0.58786,0.23818,0.0000,0.0000,5.1279
273,0.88320,0.09065,0.20446,0.58809,0.23828,0.0000,0.0000,5.1129
274,0.88330,0.09082,0.20419,0.58829,0.23836,0.0000,0.0000,5.0914
275,0.88339,0.09097,0.20396,0.58845,0.23843,0.0000,0.0000,5.1672
276,0.88340,0.09109,0.20370,0.58862,0.23849,0.0000,0.0000,5.1627
277,0.88346,0.09121,0.20348,0.58877,0.23854,0.0000,0.0000,5.1721
278,0.88365,0.09135,0.20342,0.58888,0.23857,0.0000,0.0000,5.1915
279,0.88394,0.09150,0.20347,0.58897,0.23859,0.0000,0.0000,5.2673
280,0.88426,0.09159,0.20369,0.58897,0.23858,0.0000,0.0000,5.5882
281,0.88455,0.09162,0.20404,0.58889,0.23853,0.0000,0.0000,5.1533
282,0.88469,0.09159,0.20432,0.58878,0.23848,0.0000,0.0000,5.1510
283,0.88484,0.09155,0.20464,0.58865,0.23842,0.0000,0.0000,5.1618
284,0.88482,0.09147,0.20483,0.58852,0.23836,0.0000,0.0000,5.1586
285,0.88475,0.09135,0.20502,0.58838,0.23829,0.0000,0.0000,5.1691
