step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
67,1789554891.334,-0.1037567,0.500002,-0.03863693,-0.003896552,0,0,-0.003875082,1.763344,0.3318098,-0.02244095,0,0,0,0,1,15.29426,0.0005766504,-0.00806331,0.003323704,0.04467019,0.4509051,0.03914189,100300,0.5727933,500,23.77075
68,1789554891.820,-0.1012689,0.500002,-0.03552628,-0.003856228,0,0,-0.004446452,1.762157,0.317655,-0.02240518,0,0,0,0,1,15.30512,0.0008649756,-0.005845219,0.002726803,0.03612305,0.4435992,0.03811359,102035,0.573216,500,23.81566
69,1789554892.302,-0.1021554,0.500002,-0.03465177,-0.003819964,0,0,-0.004140175,1.753577,0.3175892,-0.02303596,0,0,0,0,1,15.29427,0.0008649756,-0.006744176,0.002791892,0.0527164,0.4381914,0.04077744,102620,0.5730205,500,23.83447
70,1789554892.788,-0.1026559,0.500002,-0.02733972,-0.003919934,0,0,-0.004116975,1.752708,0.3461893,-0.02177273,0,0,0,0,1,15.2887,0.0008649756,-0.006922494,0.002951002,0.0330488,0.4439094,0.03823948,101943,0.5729281,500,23.84417
71,1789554893.269,-0.1052916,0.500002,-0.03845014,-0.004016637,0,0,-0.003829113,1.78203,0.3685721,-0.02076048,0,0,0,0,1,15.27245,0.0008649756,-0.007318156,0.002924409,0.07057451,0.4389598,0.03915238,102804,0.5727736,500,23.85119
72,1789554893.757,-0.1032056,0.500002,-0.03049624,-0.003561066,0,0,-0.004130348,1.798532,0.3898091,-0.02142315,0,0,0,0,1,15.26399,0.0005766504,-0.008024773,0.00271615,0.03039895,0.4453807,0.03857303,101563,0.5727931,500,23.9686
73,1789554894.244,-0.1053066,0.500002,-0.03318572,-0.00363192,0,0,-0.00388189,1.792748,0.3747754,-0.02322316,0,0,0,0,1,15.24473,0.0008649756,-0.007525536,0.002604615,0.02530855,0.4453886,0.03822351,101635,0.5724225,500,24.00468
74,1789554894.751,-0.1030115,0.500002,-0.03105546,-0.003774385,0,0,-0.003999188,1.800291,0.3856956,-0.0204633,0,0,0,0,1,15.23371,0.001297463,-0.00681552,0.002931518,0.03887062,0.4647393,0.03878808,97615,0.5723857,500,24.35693
75,1789554895.268,-0.1041483,0.500002,-0.02938451,-0.003529047,0,0,-0.003955849,1.796984,0.3813058,-0.02017571,0,0,0,0,1,15.21218,0.0008649756,-0.006542959,0.003588761,0.03612035,0.4737959,0.03950906,95755,0.5718935,500,24.87623
76,1789554895.790,-0.1049957,0.500002,-0.02996364,-0.003584901,0,0,-0.003951315,1.806466,0.3980187,-0.02077395,0,0,0,0,1,15.21116,0.0005766504,-0.008161704,0.002913377,0.03477045,0.4796095,0.0383184,94901,0.5726882,500,25.5031
