step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
54,1789608538.656,-0.543099,0.500002,-0.1032531,-0.02546553,-0.003421996,0,0,-0.001833527,1.801554,0.3956157,-0.01709828,0,0,0,0,1,8.591212,0.0008649756,-0.008857122,0.003538685,0.03036707,0.4948399,0.03940225,92003,0.390645,500,19.15203
55,1789608539.193,-0.5343248,0.500002,-0.1068183,-0.02467664,-0.003311524,0,0,-0.00181499,1.815123,0.4178063,-0.01852394,0,0,0,0,1,8.482805,0.0005766504,-0.008965088,0.003418575,0.03399339,0.4938931,0.03887153,92258,0.3883898,500,20.01934
56,1789608539.736,-0.5291553,0.500002,-0.1045703,-0.02719007,-0.003339288,0,0,-0.001806036,1.815904,0.4179413,-0.01743137,0,0,0,0,1,8.358195,0.0005766504,-0.009756741,0.003197298,0.02884441,0.4989398,0.03974056,91245,0.3856847,500,20.31964
57,1789608540.278,-0.5132557,0.500002,-0.1010663,-0.02730072,-0.003402273,0,0,-0.001772253,1.82684,0.4363109,-0.01652556,0,0,0,0,1,8.237214,0.0008649756,-0.007705208,0.003129223,0.04035226,0.4982483,0.03958011,91389,0.3832547,500,20.56544
58,1789608540.818,-0.5083079,0.500002,-0.09688321,-0.02658251,-0.003363637,0,0,-0.001723765,1.830099,0.4487792,-0.01571422,0,0,0,0,1,8.132578,0.0005766504,-0.007389638,0.003281507,0.0370404,0.4961522,0.03943944,91771,0.3810485,500,20.78901
59,1789608541.353,-0.5067356,0.500002,-0.09974083,-0.02500348,-0.003208115,0,0,-0.001687116,1.833296,0.450824,-0.01608585,0,0,0,0,1,7.999445,0.0008649756,-0.008602029,0.002868008,0.03417664,0.4910753,0.0406034,92446,0.3780697,500,20.98989
60,1789608541.896,-0.4973428,0.500002,-0.09550782,-0.0257507,-0.003353223,0,0,-0.001716455,1.831947,0.4473835,-0.01704675,0,0,0,0,1,7.870404,0.0005766504,-0.008447701,0.003205738,0.03435509,0.4997511,0.03879452,91268,0.375577,500,21.2063
61,1789608542.416,-0.4919522,0.500002,-0.09896868,-0.02071468,-0.003316629,0,0,-0.00175784,1.826532,0.4393003,-0.01857485,0,0,0,0,1,7.7396,0.0005766504,-0.008199383,0.002927317,0.0288381,0.476639,0.03931975,95263,0.3729331,500,21.28055
62,1789608542.926,-0.4856037,0.500002,-0.09329893,-0.02409145,-0.0032757,0,0,-0.001642631,1.842862,0.4656852,-0.01495796,0,0,0,0,1,7.654174,0.0002562891,-0.004154895,0.002775441,0.03263187,0.4672608,0.03901076,97086,0.3717343,500,21.83624
63,1789608543.426,-0.4860148,0.500002,-0.0955198,-0.02420994,-0.003310433,0,0,-0.001681951,1.83901,0.4648232,-0.01646576,0,0,0,0,1,7.587442,0.0001708594,-0.004996944,0.003411515,0.03326318,0.4570022,0.03908491,99079,0.370473,500,21.83624
