step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
212,0.01741,0.00267,0.01354,0.00119,0.27794,0.0000,0.0000,0.5821
213,0.01586,0.00082,0.01326,0.00178,0.27746,0.0000,0.0000,0.6004
214,0.01600,0.00110,0.01317,0.00174,0.27703,0.0000,0.0000,0.5988
215,0.01638,0.00241,0.01265,0.00131,0.27668,0.0000,0.0000,0.5841
216,0.01402,0.00165,0.01170,0.00067,0.27642,0.0000,0.0000,0.5636
217,0.01116,0.00030,0.01062,0.00025,0.27621,0.0000,0.0000,0.5603
218,0.01135,0.00109,0.01025,0.00002,0.27599,0.0000,0.0000,0.5771
219,0.01176,0.00093,0.01066,0.00017,0.27571,0.0000,0.0000,0.6019
220,0.01182,0.00019,0.01155,0.00008,0.27532,0.0000,0.0000,0.6195
221,0.01390,0.00113,0.01268,0.00010,0.27484,0.0000,0.0000,0.6332
222,0.01651,0.00253,0.01342,0.00057,0.27429,0.0000,0.0000,0.6378
223,0.01794,0.00319,0.01326,0.00149,0.27366,0.0000,0.0000,0.6339
224,0.01835,0.00305,0.01271,0.00259,0.27299,0.0000,0.0000,0.6330
225,0.01905,0.00310,0.01270,0.00324,0.27229,0.0000,0.0000,0.6311
226,0.02029,0.00345,0.01289,0.00395,0.27160,0.0000,0.0000,0.6419
227,0.02184,0.00428,0.01292,0.00464,0.27093,0.0000,0.0000,0.6489
228,0.02381,0.00568,0.01341,0.00473,0.27032,0.0000,0.0000,0.6581
229,0.02554,0.00713,0.01343,0.00497,0.26979,0.0000,0.0000,0.6599
230,0.02621,0.00787,0.01278,0.00556,0.26931,0.0000,0.0000,0.6565
231,0.02478,0.00675,0.01225,0.00578,0.26888,0.0000,0.0000,0.6560
232,0.02076,0.00324,0.01347,0.00405,0.26847,0.0000,0.0000,0.6606
233,0.01910,0.00217,0.01439,0.00254,0.26809,0.0000,0.0000,0.6620
234,0.02045,0.00364,0.01488,0.00192,0.26769,0.0000,0.0000,0.6403
235,0.02420,0.00681,0.01541,0.00199,0.26728,0.0000,0.0000,0.5840
236,0.02913,0.01020,0.01642,0.00250,0.26686,0.0000,0.0000,0.5051
237,0.03447,0.01324,0.01792,0.00330,0.26644,0.0000,0.0000,0.4200
238,0.03892,0.01524,0.01882,0.00486,0.26600,0.0000,0.0000,0.3417
239,0.04215,0.01632,0.01914,0.00670,0.26557,0.0000,0.0000,0.2761
240,0.04454,0.01690,0.01921,0.00842,0.26518,0.0000,0.0000,0.2400
241,0.04688,0.01741,0.01948,0.01000,0.26485,0.0000,0.0000,0.2387
242,0.04920,0.01748,0.01996,0.01175,0.26459,0.0000,0.0000,0.2592
243,0.05242,0.01739,0.02146,0.01357,0.26440,0.0000,0.0000,0.2895
244,0.05581,0.01646,0.02327,0.01608,0.26426,0.0000,0.0000,0.3194
245,0.05593,0.01771,0.02108,0.01714,0.26419,0.0000,0.0000,0.3477
246,0.05183,0.01810,0.01557,0.01817,0.26420,0.0000,0.0000,0.4055
247,0.04467,0.01302,0.01281,0.01884,0.26426,0.0000,0.0000,0.5051
248,0.03847,0.00703,0.01293,0.01851,0.26432,0.0000,0.0000,0.5822
249,0.03673,0.00932,0.00868,0.01873,0.26462,0.0000,0.0000,0.5742
250,0.03280,0.00362,0.01035,0.01883,0.26484,0.0000,0.0000,0.5620
251,0.03374,0.00221,0.01340,0.01814,0.26476,0.0000,0.0000,0.4675
252,0.04016,0.00324,0.01994,0.01698,0.26457,0.0000,0.0000,0.4326
253,0.04089,0.00054,0.02425,0.01610,0.26435,0.0000,0.0000,0.4656
254,0.04659,0.00706,0.02295,0.01658,0.26416,0.0000,0.0000,0.4899
255,0.04792,0.01088,0.01921,0.01783,0.26397,0.0000,0.0000,0.5082
256,0.04628,0.01148,0.01528,0.01952,0.26379,0.0000,0.0000,0.5597
257,0.04500,0.01061,0.01397,0.02041,0.26362,0.0000,0.0000,0.6385
258,0.04498,0.00978,0.01473,0.02048,0.26349,0.0000,0.0000,0.6932
259,0.04437,0.00922,0.01513,0.02002,0.26342,0.0000,0.0000,0.7822
260,0.04238,0.00879,0.01421,0.01939,0.26345,0.0000,0.0000,0.7926
261,0.03889,0.00754,0.01219,0.01916,0.26352,0.0000,0.0000,0.8104
262,0.03611,0.00669,0.01081,0.01861,0.26361,0.0000,0.0000,0.7696
263,0.03464,0.00642,0.01015,0.01807,0.26370,0.0000,0.0000,0.7200
264,0.03439,0.00660,0.00997,0.01781,0.26373,0.0000,0.0000,0.6485
265,0.03618,0.00815,0.01055,0.01747,0.26368,0.0000,0.0000,0.5953
266,0.03831,0.01043,0.01069,0.01719,0.26354,0.0000,0.0000,0.5967
267,0.03967,0.01226,0.01033,0.01708,0.26333,0.0000,0.0000,0.6270
268,0.04072,0.01354,0.01005,0.01714,0.26305,0.0000,0.0000,0.6255
269,0.04208,0.01523,0.00970,0.01715,0.26272,0.0000,0.0000,0.6532
270,0.04264,0.01593,0.00915,0.01757,0.26232,0.0000,0.0000,0.6979
271,0.03834,0.01372,0.00798,0.01664,0.26200,0.0000,0.0000,0.7680
272,0.03123,0.01007,0.00616,0.01499,0.26193,0.0000,0.0000,0.8091
273,0.02685,0.00907,0.00524,0.01255,0.26211,0.0000,0.0000,0.7959
274,0.02484,0.00961,0.00461,0.01062,0.26247,0.0000,0.0000,0.7647
275,0.02831,0.01002,0.00800,0.01030,0.26288,0.0000,0.0000,0.7661
276,0.03348,0.00977,0.01131,0.01240,0.26312,0.0000,0.0000,0.7448
277,0.03578,0.01024,0.01177,0.01376,0.26311,0.0000,0.0000,0.7593
278,0.03719,0.01229,0.01061,0.01430,0.26290,0.0000,0.0000,0.7468
279,0.03931,0.01568,0.00924,0.01439,0.26257,0.0000,0.0000,0.7913
280,0.04070,0.01842,0.00752,0.01477,0.26218,0.0000,0.0000,0.9573
281,0.04163,0.01951,0.00739,0.01474,0.26181,0.0000,0.0000,0.8937
282,0.04173,0.01895,0.00832,0.01446,0.26147,0.0000,0.0000,0.9420
283,0.04098,0.01781,0.00901,0.01417,0.26119,0.0000,0.0000,0.9635
284,0.04059,0.01729,0.00928,0.01403,0.26100,0.0000,0.0000,0.9596
285,0.04186,0.01811,0.00966,0.01408,0.26089,0.0000,0.0000,0.9306
286,0.04475,0.01988,0.01054,0.01433,0.26082,0.0000,0.0000,0.8864
287,0.04818,0.02158,0.01173,0.01487,0.26076,0.0000,0.0000,0.8728
288,0.05142,0.02271,0.01307,0.01564,0.26067,0.0000,0.0000,0.8687
289,0.05469,0.02349,0.01468,0.01652,0.26057,0.0000,0.0000,0.8667
290,0.05434,0.02573,0.01201,0.01660,0.26046,0.0000,0.0000,0.8729
291,0.05063,0.02662,0.00804,0.01596,0.26041,0.0000,0.0000,0.9166
292,0.04511,0.02391,0.00541,0.01579,0.26038,0.0000,0.0000,0.9697
293,0.03992,0.01905,0.00533,0.01555,0.26035,0.0000,0.0000,0.9809
