step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
173,0.06186,0.02533,0.00303,0.03351,0.30114,0.0000,0.0000,0.1524
174,0.06592,0.03255,0.00303,0.03035,0.30041,0.0000,0.0000,0.1452
175,0.05717,0.03489,0.00013,0.02215,0.30064,0.0000,0.0000,0.1817
176,0.05352,0.03724,0.00281,0.01346,0.30190,0.0000,0.0000,0.2046
177,0.04856,0.03468,0.01218,0.00169,0.30256,0.0000,0.0000,0.1731
178,0.05726,0.03576,0.01641,0.00509,0.30233,0.0000,0.0000,0.3021
179,0.06413,0.03766,0.01835,0.00811,0.30142,0.0000,0.0000,0.4776
180,0.06890,0.04093,0.01852,0.00944,0.30017,0.0000,0.0000,0.6922
181,0.07128,0.04335,0.01837,0.00956,0.29889,0.0000,0.0000,0.8158
182,0.07147,0.04238,0.01955,0.00954,0.29763,0.0000,0.0000,0.9319
183,0.06846,0.03891,0.01923,0.01032,0.29635,0.0000,0.0000,1.0052
184,0.06610,0.03481,0.02066,0.01063,0.29495,0.0000,0.0000,1.0719
185,0.06535,0.03304,0.02156,0.01075,0.29328,0.0000,0.0000,1.1271
186,0.06540,0.03054,0.02264,0.01222,0.29111,0.0000,0.0000,1.1708
187,0.06376,0.02581,0.02408,0.01387,0.28843,0.0000,0.0000,1.2688
188,0.05940,0.01915,0.02356,0.01669,0.28577,0.0000,0.0000,1.3282
189,0.05128,0.01362,0.01990,0.01776,0.28454,0.0000,0.0000,1.4869
190,0.04932,0.01157,0.02016,0.01759,0.28526,0.0000,0.0000,1.2537
191,0.05132,0.01345,0.02164,0.01623,0.28784,0.0000,0.0000,1.1210
192,0.05246,0.01470,0.02464,0.01312,0.29183,0.0000,0.0000,1.2643
193,0.05595,0.01792,0.02849,0.00955,0.29506,0.0000,0.0000,1.5433
194,0.05588,0.02070,0.02953,0.00565,0.29711,0.0000,0.0000,1.8089
195,0.04771,0.01685,0.02972,0.00114,0.29833,0.0000,0.0000,1.9375
196,0.04467,0.01455,0.02734,0.00278,0.29911,0.0000,0.0000,1.9360
197,0.04669,0.01650,0.02529,0.00490,0.29974,0.0000,0.0000,1.7987
198,0.04721,0.01791,0.02441,0.00489,0.30037,0.0000,0.0000,1.8198
199,0.04483,0.01791,0.02291,0.00401,0.30099,0.0000,0.0000,1.9260
200,0.04016,0.01489,0.02287,0.00240,0.30140,0.0000,0.0000,1.8876
