attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
3,25,0.5,spawn,0.02099,0.00932,0.01881,0.02289,0.0156,3.17,85.78,0.3148,0.0217,-0.015,0.0,0.0,0,0.0,0.0
0,26,0.52,spawn,0.01851,0.00327,0.01821,0.02017,0.0162,3.5,85.78,0.3146,0.0223,0.038,0.0,0.0,0,0.0,0.0
1,26,0.52,spawn,0.01852,0.00328,0.01823,0.02018,0.0162,3.5,85.75,0.3146,0.0223,0.038,0.0,0.0,0,0.0,0.0
2,26,0.52,spawn,0.01852,0.00328,0.01822,0.02018,0.0162,3.5,85.77,0.3146,0.0223,0.038,0.0,0.0,0,0.0,0.0
3,26,0.52,spawn,0.01848,0.00326,0.01819,0.02015,0.0162,3.5,85.76,0.3146,0.0223,0.039,0.0,0.0,0,0.0,0.0
0,27,0.54,spawn,0.01777,0.00698,0.01634,0.01936,0.0168,3.01,85.93,0.3145,0.0228,0.025,0.0,0.0,0,0.0,0.0
1,27,0.54,spawn,0.01778,0.00699,0.01635,0.01937,0.0168,3.01,85.9,0.3145,0.0228,0.025,0.0,0.0,0,0.0,0.0
2,27,0.54,spawn,0.01778,0.00698,0.01635,0.01937,0.0168,3.01,85.91,0.3145,0.0228,0.024,0.0,0.0,0,0.0,0.0
3,27,0.54,spawn,0.01775,0.00697,0.01632,0.01934,0.0168,3.01,85.91,0.3145,0.0228,0.025,0.0,0.0,0,0.0,0.0
0,28,0.56,spawn,0.01734,0.0054,0.01647,0.01871,0.0174,2.71,83.7,0.3145,0.0233,0.08,0.0,0.0,0,0.0,0.0
1,28,0.56,spawn,0.01733,0.00541,0.01646,0.01869,0.0174,2.71,83.67,0.3145,0.0233,0.079,0.0,0.0,0,0.0,0.0
2,28,0.56,spawn,0.01733,0.0054,0.01647,0.0187,0.0174,2.71,83.68,0.3145,0.0233,0.079,0.0,0.0,0,0.0,0.0
3,28,0.56,spawn,0.01731,0.00538,0.01645,0.01868,0.0174,2.71,83.68,0.3145,0.0233,0.08,0.0,0.0,0,0.0,0.0
0,29,0.58,spawn,0.01871,0.00852,0.01666,0.02109,0.018,1.85,83.78,0.3145,0.0238,0.102,0.0,0.0,0,0.0,0.0
1,29,0.58,spawn,0.01871,0.00856,0.01664,0.02109,0.018,1.85,83.68,0.3145,0.0237,0.101,0.0,0.0,0,0.0,0.0
2,29,0.58,spawn,0.01871,0.00854,0.01665,0.02109,0.018,1.85,83.73,0.3145,0.0238,0.101,0.0,0.0,0,0.0,0.0
3,29,0.58,spawn,0.01869,0.00849,0.01664,0.02107,0.018,1.85,83.74,0.3145,0.0237,0.102,0.0,0.0,0,0.0,0.0
0,30,0.6,spawn,0.01783,0.00545,0.01698,0.02075,0.0186,1.42,84.66,0.3145,0.0242,0.172,0.0,0.0,0,0.0,0.0
1,30,0.6,spawn,0.01786,0.00552,0.01699,0.02078,0.0186,1.39,84.19,0.3145,0.0242,0.17,0.0,0.0,0,0.0,0.0
2,30,0.6,spawn,0.01784,0.00549,0.01697,0.02076,0.0186,1.41,84.39,0.3145,0.0242,0.17,0.0,0.0,0,0.0,0.0
3,30,0.6,spawn,0.01782,0.00543,0.01697,0.02074,0.0186,1.41,84.4,0.3145,0.0242,0.172,0.0,0.0,0,0.0,0.0
0,31,0.62,spawn,0.01628,0.00528,0.0154,0.02018,0.0192,0.67,85.18,0.3144,0.0245,0.203,0.0,0.0,0,0.0,0.0
1,31,0.62,spawn,0.01595,0.00499,0.01514,0.01997,0.0192,0.61,84.25,0.3145,0.0244,0.21,0.0,0.0,0,0.0,0.0
2,31,0.62,spawn,0.01618,0.00499,0.01539,0.01999,0.0192,0.72,85.03,0.3144,0.0245,0.205,0.0,0.0,0,0.0,0.0
3,31,0.62,spawn,0.01616,0.00502,0.01536,0.01998,0.0192,0.72,85.4,0.3144,0.0245,0.205,0.0,0.0,0,0.0,0.0
0,32,0.64,spawn,0.01545,0.00738,0.01357,0.02085,0.0198,-0.22,85.36,0.3144,0.0247,0.214,0.0,0.0,0,0.0,0.0
1,32,0.64,spawn,0.01383,0.00567,0.01261,0.01946,0.0198,-0.22,84.66,0.3144,0.0246,0.249,0.0,0.0,0,0.0,0.0
2,32,0.64,spawn,0.015,0.00742,0.01304,0.02054,0.0198,-0.26,85.41,0.3144,0.0247,0.213,0.0,0.0,0,0.0,0.0
3,32,0.64,spawn,0.01517,0.00744,0.01322,0.02069,0.0198,-0.27,85.65,0.3144,0.0247,0.215,0.0,0.0,0,0.0,0.0
0,33,0.66,spawn,0.01583,0.00826,0.0135,0.02254,0.0204,-0.91,85.42,0.3143,0.025,0.277,0.0,0.0,0,0.0,0.0
1,33,0.66,spawn,0.0137,0.00775,0.01129,0.02042,0.0204,-0.87,84.96,0.3142,0.0248,0.314,0.0,0.0,0,0.0,0.0
2,33,0.66,spawn,0.01522,0.00817,0.01283,0.02205,0.0204,-0.92,85.49,0.3143,0.0249,0.275,0.0,0.0,0,0.0,0.0
3,33,0.66,spawn,0.01553,0.00837,0.01308,0.02236,0.0204,-0.95,85.73,0.3143,0.0249,0.277,0.0,0.0,0,0.0,0.0
0,34,0.68,spawn,0.01858,0.01312,0.01315,0.02648,0.021,-1.95,83.06,0.3143,0.0252,0.328,0.0,0.0,0,0.0,0.0
1,34,0.68,spawn,0.01613,0.01262,0.01005,0.02355,0.021,-1.59,85.2,0.314,0.025,0.381,0.0,0.0,0,0.0,0.0
2,34,0.68,spawn,0.01828,0.01326,0.01259,0.02625,0.021,-1.97,83.11,0.3143,0.0252,0.325,0.0,0.0,0,0.0,0.0
3,34,0.68,spawn,0.0185,0.01338,0.01278,0.02648,0.021,-1.99,83.35,0.3143,0.0252,0.328,0.0,0.0,0,0.0,0.0
0,35,0.7,spawn,0.02095,0.01773,0.01115,0.02944,0.0216,-2.74,81.51,0.3142,0.0254,0.385,0.0,0.0,0,0.0,0.0
