attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,28,0.56,settle,0.17449,0.16593,-0.05397,0.17449,0.0174,-24.98,3.35,0.3289,0,0.0,0.0
1,28,0.56,settle,0.17448,0.16593,-0.05397,0.17448,0.0174,-24.98,3.35,0.3289,0,0.0,0.0
2,28,0.56,settle,0.17449,0.16593,-0.05397,0.17449,0.0174,-24.98,3.35,0.3289,0,0.0,0.0
3,28,0.56,settle,0.17448,0.16592,-0.05398,0.17448,0.0174,-24.98,3.35,0.3289,0,0.0,0.0
0,29,0.58,settle,0.1813,0.17248,-0.05586,0.1813,0.018,-26.02,3.53,0.3296,0,0.0,0.0
1,29,0.58,settle,0.1813,0.17248,-0.05585,0.1813,0.018,-26.02,3.53,0.3296,0,0.0,0.0
2,29,0.58,settle,0.1813,0.17248,-0.05585,0.1813,0.018,-26.02,3.53,0.3296,0,0.0,0.0
3,29,0.58,settle,0.18131,0.17249,-0.05587,0.18131,0.018,-26.03,3.53,0.3296,0,0.0,0.0
0,30,0.6,settle,0.18721,0.17787,-0.05839,0.18721,0.0186,-26.97,3.72,0.3303,0,0.0,0.0
1,30,0.6,settle,0.1872,0.17787,-0.05839,0.1872,0.0186,-26.97,3.72,0.3303,0,0.0,0.0
2,30,0.6,settle,0.1872,0.17787,-0.05839,0.1872,0.0186,-26.97,3.72,0.3303,0,0.0,0.0
3,30,0.6,settle,0.18723,0.17789,-0.0584,0.18723,0.0186,-26.98,3.72,0.3303,0,0.0,0.0
0,31,0.62,settle,0.19116,0.18095,-0.06165,0.19116,0.0192,-27.55,3.89,0.331,0,0.0,0.0
1,31,0.62,settle,0.19116,0.18094,-0.06164,0.19116,0.0192,-27.55,3.89,0.331,0,0.0,0.0
2,31,0.62,settle,0.19116,0.18094,-0.06164,0.19116,0.0192,-27.55,3.89,0.331,0,0.0,0.0
3,31,0.62,settle,0.19118,0.18097,-0.06165,0.19118,0.0192,-27.55,3.89,0.331,0,0.0,0.0
0,32,0.64,settle,0.19366,0.1823,-0.06534,0.19366,0.0198,-27.79,4.02,0.3316,0,0.0,0.0
1,32,0.64,settle,0.19365,0.1823,-0.06534,0.19365,0.0198,-27.79,4.02,0.3316,0,0.0,0.0
2,32,0.64,settle,0.19365,0.1823,-0.06534,0.19365,0.0198,-27.79,4.02,0.3316,0,0.0,0.0
3,32,0.64,settle,0.19367,0.18231,-0.06534,0.19367,0.0198,-27.79,4.02,0.3316,0,0.0,0.0
0,33,0.66,settle,0.19614,0.18382,-0.06842,0.19614,0.0204,-28.03,4.19,0.332,0,0.0,0.0
1,33,0.66,settle,0.19614,0.18382,-0.06842,0.19614,0.0204,-28.03,4.19,0.332,0,0.0,0.0
2,33,0.66,settle,0.19613,0.18381,-0.06842,0.19613,0.0204,-28.03,4.19,0.332,0,0.0,0.0
3,33,0.66,settle,0.19615,0.18383,-0.06842,0.19615,0.0204,-28.03,4.19,0.332,0,0.0,0.0
0,34,0.68,settle,0.20028,0.18724,-0.07108,0.20028,0.021,-28.54,4.28,0.3324,0,0.0,0.0
1,34,0.68,settle,0.20028,0.18724,-0.07108,0.20028,0.021,-28.54,4.28,0.3324,0,0.0,0.0
2,34,0.68,settle,0.20027,0.18723,-0.07108,0.20027,0.021,-28.54,4.28,0.3324,0,0.0,0.0
3,34,0.68,settle,0.20029,0.18725,-0.07109,0.20029,0.021,-28.55,4.28,0.3324,0,0.0,0.0
0,35,0.7,settle,0.20559,0.19196,-0.0736,0.20559,0.0216,-29.26,4.35,0.3328,0,0.0,0.0
1,35,0.7,settle,0.20558,0.19196,-0.0736,0.20558,0.0216,-29.26,4.35,0.3328,0,0.0,0.0
2,35,0.7,settle,0.20558,0.19195,-0.0736,0.20558,0.0216,-29.26,4.35,0.3328,0,0.0,0.0
3,35,0.7,settle,0.2056,0.19197,-0.0736,0.2056,0.0216,-29.26,4.35,0.3328,0,0.0,0.0
0,36,0.72,settle,0.21091,0.1967,-0.07611,0.21091,0.0222,-30.02,4.44,0.3332,0,0.0,0.0
1,36,0.72,settle,0.2109,0.19669,-0.07611,0.2109,0.0222,-30.02,4.44,0.3332,0,0.0,0.0
2,36,0.72,settle,0.2109,0.19669,-0.0761,0.2109,0.0222,-30.02,4.44,0.3332,0,0.0,0.0
3,36,0.72,settle,0.21092,0.19671,-0.07611,0.21092,0.0222,-30.02,4.44,0.3332,0,0.0,0.0
0,37,0.74,settle,0.21595,0.20106,-0.0788,0.21595,0.0228,-30.73,4.54,0.3335,0,0.0,0.0
1,37,0.74,settle,0.21594,0.20105,-0.0788,0.21594,0.0228,-30.72,4.54,0.3335,0,0.0,0.0
2,37,0.74,settle,0.21594,0.20105,-0.0788,0.21594,0.0228,-30.72,4.54,0.3335,0,0.0,0.0
3,37,0.74,settle,0.21599,0.20109,-0.07882,0.21599,0.0228,-30.73,4.54,0.3335,0,0.0,0.0
0,38,0.76,settle,0.2206,0.20498,-0.08151,0.2206,0.0234,-31.34,4.64,0.3338,0,0.0,0.0
1,38,0.76,settle,0.22059,0.20497,-0.08151,0.22059,0.0234,-31.34,4.64,0.3338,0,0.0,0.0
2,38,0.76,settle,0.22058,0.20497,-0.08151,0.22058,0.0234,-31.34,4.64,0.3338,0,0.0,0.0
3,38,0.76,settle,0.22063,0.20501,-0.08153,0.22063,0.0234,-31.35,4.64,0.3338,0,0.0,0.0
0,39,0.78,settle,0.22499,0.20861,-0.08427,0.22499,0.024,-31.9,4.73,0.334,0,0.0,0.0
1,39,0.78,settle,0.22498,0.20861,-0.08427,0.22498,0.024,-31.9,4.73,0.334,0,0.0,0.0
